NumRecords,NumColumns,RealDataPercentage,TotalQueries,RealQueries,FalseQueries,AvgHierarchicalMultiTime,AvgHierarchicalSingleTime,AvgRealDataMultiTime,AvgRealDataSingleTime,AvgFalseDataMultiTime,AvgFalseDataSingleTime,AvgMultiBloomChecks,AvgMultiLeafBloomChecks,AvgMultiSSTChecks,AvgSingleBloomChecks,AvgSingleLeafBloomChecks,AvgSingleSSTChecks,AvgRealMultiBloomChecks,AvgRealMultiSSTChecks,AvgFalseMultiBloomChecks,AvgFalseMultiSSTChecks
5000000,4,0,100,0,100,157.57,22857.3,0,0,157.57,22857.3,58.99,1,0,43.1,17.83,1.11,0,0,58.99,0
5000000,4,20,100,20,80,6015.87,22946.9,29427,27171.8,163.075,21890.7,60.83,2.69,0.8,42.71,17.68,1.15,66.85,4,59.325,0
5000000,4,33,100,33,67,9199.87,24557.3,27523.5,26940.3,174.806,23383.6,60.95,2.95,1.32,43.34,18.16,1.18,67.3333,4,57.806,0
5000000,4,50,100,50,50,14059,24647.1,27942.2,27054.7,175.84,22239.5,62.33,4.05,2,43.62,18.44,1.38,66.42,4,58.24,0
5000000,4,75,100,75,25,20909,26148.6,27822.2,26942,169.28,23768.5,64.29,5.06,3,44.35,19.12,1.35,66.28,4,58.32,0
5000000,4,100,100,100,0,27676.7,27009.9,27676.7,27009.9,0,0,66.11,6.59,4,43.84,18.53,1.44,66.11,4,0,0
5000000,8,0,100,0,100,230.05,24500.9,0,0,230.05,24500.9,89.05,0.59,0,43.32,17.92,1.3,0,0,89.05,0
5000000,8,20,100,20,80,8682.06,25526.8,42368.4,27305.5,260.462,25082.2,92.09,2.4,1.6,43.65,18.32,1.32,102.3,8,89.5375,0
5000000,8,33,100,33,67,13642.4,25219.7,40851.6,27251,240.896,24219.2,92.34,3.93,2.64,42.67,17.65,1.33,102.939,8,87.1194,0
5000000,8,50,100,50,50,20344.4,26795.3,40443.7,27573.2,245.04,26017.4,95.16,5.24,4,43.15,17.85,1.42,103.62,8,86.7,0
5000000,8,75,100,75,25,30529.6,26494.4,40628,27375,234.24,23852.8,98.86,7.57,6,42.63,17.34,1.41,102.747,8,87.2,0
5000000,8,100,100,100,0,40787,27318.3,40787,27318.3,0,0,103.43,9.98,8,44.66,19.35,1.41,103.43,8,0,0
5000000,10,0,100,0,100,266.7,25350.2,0,0,266.7,25350.2,103.12,0.56,0,43.61,18.47,1.28,0,0,103.12,0
5000000,10,20,100,20,80,9581.22,25511,46823.5,27372.5,270.65,25045.6,106.06,2.52,2,43.87,18.68,1.32,118.2,10,103.025,0
5000000,10,33,100,33,67,15947.4,26433,46331.7,27501.3,981.955,25906.7,111.4,5.2,3.4,43.63,18.54,1.39,124.667,10,104.866,0.149254
5000000,10,50,100,50,50,23259.1,26983,46228.3,27364.6,289.92,26601.5,113.04,6.45,5,43.73,18.55,1.35,120.66,10,105.42,0
5000000,10,75,100,75,25,34641.2,27405.8,46091.9,27463.8,288.92,27231.8,114.02,9.21,7.5,43.22,18.1,1.34,118.373,10,100.96,0
5000000,10,100,100,100,0,46005.5,27599.8,46005.5,27599.8,0,0,121.22,11.95,10,43.73,18.65,1.46,121.22,10,0,0
5000000,12,0,100,0,100,301.91,25359.7,0,0,301.91,25359.7,117.34,0.81,0,43.88,18.57,1.26,0,0,117.34,0
5000000,12,20,100,20,80,9649.86,26145.7,47002.7,27817.5,311.65,25727.8,122.54,2.94,2.4,43.08,17.86,1.32,140.4,12,118.075,0
5000000,12,33,100,33,67,15818.6,25608.8,47329.8,27438.8,298.194,24707.4,122.22,4.91,3.96,43.77,18.66,1.33,136.242,12,115.313,0
5000000,12,50,100,50,50,23790.9,25416.1,47279.1,27524.6,302.82,23307.7,126.62,7.09,6,43.42,18.27,1.23,139.86,12,113.38,0
5000000,12,75,100,75,25,35365.8,27172.5,47046.8,27552.7,323,26031.8,134.19,10.63,9,43.69,18.44,1.45,140.093,12,116.48,0
5000000,12,100,100,100,0,47140.3,27657.7,47140.3,27657.7,0,0,136.91,14,12,42.78,17.63,1.41,136.91,12,0,0